filepath,channel,emotion_code,emotion,intensity,statement,repetition,actor,gender,split
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-01-01-01-01-23.wav,song,1,neutral,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-01-01-01-02-23.wav,song,1,neutral,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-01-01-02-01-23.wav,song,1,neutral,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-01-01-02-02-23.wav,song,1,neutral,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-02-01-01-01-23.wav,song,2,calm,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-02-01-01-02-23.wav,song,2,calm,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-02-01-02-01-23.wav,song,2,calm,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-02-01-02-02-23.wav,song,2,calm,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-02-02-01-01-23.wav,song,2,calm,strong,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-02-02-01-02-23.wav,song,2,calm,strong,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-02-02-02-01-23.wav,song,2,calm,strong,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-02-02-02-02-23.wav,song,2,calm,strong,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-03-01-01-01-23.wav,song,3,happy,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-03-01-01-02-23.wav,song,3,happy,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-03-01-02-01-23.wav,song,3,happy,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-03-01-02-02-23.wav,song,3,happy,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-03-02-01-01-23.wav,song,3,happy,strong,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-03-02-01-02-23.wav,song,3,happy,strong,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-03-02-02-01-23.wav,song,3,happy,strong,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-03-02-02-02-23.wav,song,3,happy,strong,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-04-01-01-01-23.wav,song,4,sad,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-04-01-01-02-23.wav,song,4,sad,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-04-01-02-01-23.wav,song,4,sad,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-04-01-02-02-23.wav,song,4,sad,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-04-02-01-01-23.wav,song,4,sad,strong,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-04-02-01-02-23.wav,song,4,sad,strong,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-04-02-02-01-23.wav,song,4,sad,strong,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-04-02-02-02-23.wav,song,4,sad,strong,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-05-01-01-01-23.wav,song,5,angry,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-05-01-01-02-23.wav,song,5,angry,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-05-01-02-01-23.wav,song,5,angry,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-05-01-02-02-23.wav,song,5,angry,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-05-02-01-01-23.wav,song,5,angry,strong,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-05-02-01-02-23.wav,song,5,angry,strong,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-05-02-02-01-23.wav,song,5,angry,strong,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-05-02-02-02-23.wav,song,5,angry,strong,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-06-01-01-01-23.wav,song,6,fearful,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-06-01-01-02-23.wav,song,6,fearful,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-06-01-02-01-23.wav,song,6,fearful,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-06-01-02-02-23.wav,song,6,fearful,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-06-02-01-01-23.wav,song,6,fearful,strong,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-06-02-01-02-23.wav,song,6,fearful,strong,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-06-02-02-01-23.wav,song,6,fearful,strong,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/song/Actor_23/03-02-06-02-02-02-23.wav,song,6,fearful,strong,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-01-01-01-01-23.wav,speech,1,neutral,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-01-01-01-02-23.wav,speech,1,neutral,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-01-01-02-01-23.wav,speech,1,neutral,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-01-01-02-02-23.wav,speech,1,neutral,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-02-01-01-01-23.wav,speech,2,calm,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-02-01-01-02-23.wav,speech,2,calm,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-02-01-02-01-23.wav,speech,2,calm,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-02-01-02-02-23.wav,speech,2,calm,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-02-02-01-01-23.wav,speech,2,calm,strong,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-02-02-01-02-23.wav,speech,2,calm,strong,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-02-02-02-01-23.wav,speech,2,calm,strong,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-02-02-02-02-23.wav,speech,2,calm,strong,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-03-01-01-01-23.wav,speech,3,happy,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-03-01-01-02-23.wav,speech,3,happy,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-03-01-02-01-23.wav,speech,3,happy,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-03-01-02-02-23.wav,speech,3,happy,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-03-02-01-01-23.wav,speech,3,happy,strong,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-03-02-01-02-23.wav,speech,3,happy,strong,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-03-02-02-01-23.wav,speech,3,happy,strong,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-03-02-02-02-23.wav,speech,3,happy,strong,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-04-01-01-01-23.wav,speech,4,sad,normal,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-04-01-01-02-23.wav,speech,4,sad,normal,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-04-01-02-01-23.wav,speech,4,sad,normal,2,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-04-01-02-02-23.wav,speech,4,sad,normal,2,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-04-02-01-01-23.wav,speech,4,sad,strong,1,1,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-04-02-01-02-23.wav,speech,4,sad,strong,1,2,23,male,test
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/samples/test/speech/Actor_23/03-01-04-02-02-01-23.wav,speech,4,sad,strong,2,1,23,male,test
