filepath,split,channel,emotion_code,emotion,intensity,actor,gender,statement,repetition
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-01-01-01-01-01.wav,train,speech,1,neutral,normal,1,male,1,1
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-01-01-01-02-01.wav,train,speech,1,neutral,normal,1,male,1,2
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-01-01-02-01-01.wav,train,speech,1,neutral,normal,1,male,2,1
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-01-01-02-02-01.wav,train,speech,1,neutral,normal,1,male,2,2
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-02-01-01-01-01.wav,train,speech,2,calm,normal,1,male,1,1
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-02-01-01-02-01.wav,train,speech,2,calm,normal,1,male,1,2
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-02-01-02-01-01.wav,train,speech,2,calm,normal,1,male,2,1
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-02-01-02-02-01.wav,train,speech,2,calm,normal,1,male,2,2
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-02-02-01-01-01.wav,train,speech,2,calm,strong,1,male,1,1
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-02-02-01-02-01.wav,train,speech,2,calm,strong,1,male,1,2
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-02-02-02-01-01.wav,train,speech,2,calm,strong,1,male,2,1
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-02-02-02-02-01.wav,train,speech,2,calm,strong,1,male,2,2
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-03-01-01-01-01.wav,train,speech,3,happy,normal,1,male,1,1
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-03-01-01-02-01.wav,train,speech,3,happy,normal,1,male,1,2
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-03-01-02-01-01.wav,train,speech,3,happy,normal,1,male,2,1
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-03-01-02-02-01.wav,train,speech,3,happy,normal,1,male,2,2
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-03-02-01-01-01.wav,train,speech,3,happy,strong,1,male,1,1
/mnt/d/career/projects/lightweight-speech-emotion-recognition-on-open-datasets/data/train/speech/Actor_01/03-01-03-02-01-02-01.wav,train,speech,3,happy,strong,1,male,1,2
